esfera;co_uf;cod_ibge;no_ente;ano;bimestre;indicador;cod_conta;conta;valor;populacao
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;207298,97;8336
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2587383,57;8336
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;237751,52;8325
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3329094,67;8325
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;125504,45;8347
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2208234,53;8347
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;548711,16;7896
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3005342,45;7896
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;247965,14;7896
Município;RN;2407302;Prefeitura Municipal de Marcelino Vieira - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;4121123,27;7896
Município;RN;2407401;Prefeitura Municipal de Martins - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;425143,4;8692
Município;RN;2407401;Prefeitura Municipal de Martins - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2193005,96;8692
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;737453,26;12194
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2136072,27;12194
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;324709,04;12714
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;933807,0;12714
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1354916,72;12714
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3479856,42;12714
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1280688,91;12371
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2269893,84;12371
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1072567,24;12544
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2687783,07;12544
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1412822,82;10262
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3777290,04;10262
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1308823,6;10262
Município;RN;2407500;Prefeitura Municipal de Maxaranguape - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3435757,45;10262
Município;RN;2407609;Prefeitura Municipal de Messias Targino - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;422576,15;4634
Município;RN;2407609;Prefeitura Municipal de Messias Targino - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2242329,11;4634
Município;RN;2407609;Prefeitura Municipal de Messias Targino - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;259870,85;4568
Município;RN;2407609;Prefeitura Municipal de Messias Targino - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1843046,61;4568
Município;RN;2407708;Prefeitura Municipal de Montanhas - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;137963,19;11166
Município;RN;2407708;Prefeitura Municipal de Montanhas - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2988142,51;11166
Município;RN;2407708;Prefeitura Municipal de Montanhas - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;171020,69;11295
Município;RN;2407708;Prefeitura Municipal de Montanhas - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2028158,06;11295
Município;RN;2407609;Prefeitura Municipal de Messias Targino - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;378322,18;4601
Município;RN;2407609;Prefeitura Municipal de Messias Targino - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1884846,66;4601
Município;RN;2407708;Prefeitura Municipal de Montanhas - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;231906,14;11459
Município;RN;2407708;Prefeitura Municipal de Montanhas - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3079039,61;11459
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;676104,23;22239
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3131509,73;22239
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1142794,88;22451
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3394850,93;22451
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;68320,57;2084
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1736029,78;2084
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;413085,93;2063
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2204364,69;2063
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1092201,15;22950
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5900180,1;22950
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;67991,94;2063
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2030940,09;2063
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1186995,65;22698
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5448185,9;22698
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;829567,54;22698
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;4640327,66;22698
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;24581,22;2105
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1462621,1;2105
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1841407,84;22950
Município;RN;2407807;Prefeitura Municipal de Monte Alegre - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;6690174,85;22950
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;554261,78;2277
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2026754,27;2277
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;790749,64;2277
Município;RN;2407906;Prefeitura Municipal de Monte das Gameleiras - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2160325,53;2277
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;68323195,46;297378
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;125218429,55;297378
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;85047134,07;300618
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;137190405,56;300618
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;105092097,1;303792
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;144701894,76;303792
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;70811725,17;294076
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;122969031,74;294076
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;146714682,19;264181
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;178010496,64;264181
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;121629455,74;303792
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;187025018,95;303792
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;165906650,0;264181
Município;RN;2408003;Prefeitura Municipal de Mossoró - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;201082090,56;264181
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;383966550,89;877640
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;295805873,67;877640
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;412868139,97;890480
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;351583031,99;890480
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;524186353,0;896708
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;377985978,7;896708
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;474832022,62;896708
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;338091512,14;896708
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;642432286,08;751932
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;361180583,58;751932
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;602110716,33;751932
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;338822048,34;751932
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;360241664,57;884122
Município;RN;2408102;Prefeitura Municipal de Natal - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;308378526,25;884122
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;791119,39;27602
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;4413635,3;27602
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1375230,57;27260
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;4272296,91;27260
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1609048,05;28266
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5865604,04;28266
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1137251,52;27938
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5126291,39;27938
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;2336971,15;37554
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;6703597,77;37554
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1580196,22;37343
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5229027,38;37343
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1745543,15;37450
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;6029531,36;37450
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;2105650,86;28266
Município;RN;2408201;Prefeitura Municipal de Nísia Floresta - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;7086670,32;28266
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1342082,13;37233
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5267115,82;37233
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;3759839,66;37554
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;8135874,71;37554
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;3988274,54;34252
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;8573179,44;34252
Município;RN;2408409;Prefeitura Municipal de Olho-d'Água do Borges - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;99926,44;4272
Município;RN;2408409;Prefeitura Municipal de Olho-d'Água do Borges - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1627723,64;4272
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;3270547,14;34252
Município;RN;2408300;Prefeitura Municipal de Nova Cruz - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;8038334,56;34252
Município;RN;2408409;Prefeitura Municipal de Olho-d'Água do Borges - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;189607,01;4244
Município;RN;2408409;Prefeitura Municipal de Olho-d'Água do Borges - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1973115,25;4244
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;130339,24;4232
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2520707,52;4232
Município;RN;2408409;Prefeitura Municipal de Olho-d'Água do Borges - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;160048,32;4258
Município;RN;2408409;Prefeitura Municipal de Olho-d'Água do Borges - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1667551,65;4258
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;212443,88;4276
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;1837763,93;4276
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;257598,99;4298
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2294058,51;4298
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;261774,36;3750
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;4114153,2;3750
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;289047,12;3934
Município;RN;2408607;Prefeitura Municipal de Paraná - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2002790,74;3934
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;491646,26;3787
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2006307,15;3787
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2023;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;144309,11;3732
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2023;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;3001506,89;3732
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;875749,26;3732
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;4365482,54;3732
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;822668,19;3768
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2020;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2094198,03;3768
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2024;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;248955,98;3589
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2024;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2553569,9;3589
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;185008,17;3589
Município;RN;2408706;Prefeitura Municipal de Paraú - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;2761591,69;3589
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2021;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;1101086,58;21545
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2021;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;8076098,1;21545
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2022;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;2523135,2;21611
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2022;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;9490633,81;21611
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2019;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;827645,37;21408
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2019;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;5988554,61;21408
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2025;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;5112203,85;21464
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2025;6;Cota-Parte ICMS;RREO3CotaParteDoICMS;Cota-Parte do ICMS;11440926,4;21464
Município;RN;2408904;Prefeitura Municipal de Parelhas - RN;2020;6;ISS;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;883302,69;21477
