esfera;co_uf;cod_ibge;no_ente;ano;populacao;indicador;cod_conta;conta;valor
Município;RN;2407500;Maxaranguape;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;913305,95
Município;RN;2407500;Maxaranguape;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3479856,42
Município;RN;2407500;Maxaranguape;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;1354916,72
Município;RN;2407500;Maxaranguape;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3435757,45
Município;RN;2407500;Maxaranguape;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;1308823,6
Município;RN;2407500;Maxaranguape;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3777290,04
Município;RN;2407500;Maxaranguape;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;1412822,82
Município;RN;2407609;Messias Targino;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1884846,66
Município;RN;2407609;Messias Targino;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;377561,33
Município;RN;2407609;Messias Targino;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2242329,11
Município;RN;2407609;Messias Targino;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;422576,15
Município;RN;2407609;Messias Targino;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2330562,15
Município;RN;2407609;Messias Targino;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;304468,17
Município;RN;2407609;Messias Targino;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2745747,4
Município;RN;2407609;Messias Targino;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;368798,98
Município;RN;2407609;Messias Targino;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2367168,84
Município;RN;2407609;Messias Targino;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;483780,48
Município;RN;2407609;Messias Targino;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2563348,47
Município;RN;2407609;Messias Targino;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;518114,61
Município;RN;2407708;Montanhas;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2090961,37
Município;RN;2407708;Montanhas;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;173882,95
Município;RN;2407708;Montanhas;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2565271,29
Município;RN;2407708;Montanhas;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;119088,62
Município;RN;2407708;Montanhas;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2988142,51
Município;RN;2407708;Montanhas;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;137963,19
Município;RN;2407708;Montanhas;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3442122,32
Município;RN;2407708;Montanhas;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;186541,66
Município;RN;2407708;Montanhas;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3079039,61
Município;RN;2407708;Montanhas;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;231906,14
Município;RN;2407708;Montanhas;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3513325,08
Município;RN;2407708;Montanhas;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;196101,74
Município;RN;2407807;Monte Alegre;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3394850,93
Município;RN;2407807;Monte Alegre;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;1142815,79
Município;RN;2407807;Monte Alegre;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4192950,32
Município;RN;2407807;Monte Alegre;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;961454,65
Município;RN;2407807;Monte Alegre;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4640327,66
Município;RN;2407807;Monte Alegre;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;829569,08
Município;RN;2407807;Monte Alegre;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5448185,9
Município;RN;2407807;Monte Alegre;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;1186995,65
Município;RN;2407807;Monte Alegre;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5900180,1
Município;RN;2407807;Monte Alegre;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;1092201,15
Município;RN;2407807;Monte Alegre;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;6690174,85
Município;RN;2407807;Monte Alegre;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;1841407,84
Município;RN;2407906;Monte das Gameleiras;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1462621,1
Município;RN;2407906;Monte das Gameleiras;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;24581,22
Município;RN;2407906;Monte das Gameleiras;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1736029,78
Município;RN;2407906;Monte das Gameleiras;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;68320,57
Município;RN;2407906;Monte das Gameleiras;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2030940,09
Município;RN;2407906;Monte das Gameleiras;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;67991,94
Município;RN;2407906;Monte das Gameleiras;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2204364,69
Município;RN;2407906;Monte das Gameleiras;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;413085,93
Município;RN;2407906;Monte das Gameleiras;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2026754,27
Município;RN;2407906;Monte das Gameleiras;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;554261,78
Município;RN;2407906;Monte das Gameleiras;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2160325,53
Município;RN;2407906;Monte das Gameleiras;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;790749,64
Município;RN;2408003;Mossoró;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;125218429,55
Município;RN;2408003;Mossoró;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;72118380,52
Município;RN;2408003;Mossoró;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;137190405,56
Município;RN;2408003;Mossoró;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;86856893,03
Município;RN;2408003;Mossoró;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;144701894,76
Município;RN;2408003;Mossoró;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;105092097,1
Município;RN;2408003;Mossoró;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;187025018,95
Município;RN;2408003;Mossoró;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;121629455,74
Município;RN;2408003;Mossoró;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;178010496,64
Município;RN;2408003;Mossoró;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;146714682,19
Município;RN;2408003;Mossoró;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;201082090,56
Município;RN;2408003;Mossoró;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;165906650,0
Município;RN;2408102;Natal;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;308378526,25
Município;RN;2408102;Natal;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;360241664,57
Município;RN;2408102;Natal;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;351583031,99
Município;RN;2408102;Natal;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;412868139,97
Município;RN;2408102;Natal;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;338091512,14
Município;RN;2408102;Natal;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;474832022,62
Município;RN;2408102;Natal;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;377985978,7
Município;RN;2408102;Natal;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;524186353,0
Município;RN;2408102;Natal;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;338822048,34
Município;RN;2408102;Natal;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;602110716,33
Município;RN;2408102;Natal;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;361180583,58
Município;RN;2408102;Natal;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;642432286,08
Município;RN;2408201;Nísia Floresta;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4413635,3
Município;RN;2408201;Nísia Floresta;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;1018055,71
Município;RN;2408201;Nísia Floresta;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5126291,39
Município;RN;2408201;Nísia Floresta;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;1801180,1
Município;RN;2408201;Nísia Floresta;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5865604,04
Município;RN;2408201;Nísia Floresta;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;2547162,53
Município;RN;2408201;Nísia Floresta;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;7086670,32
Município;RN;2408201;Nísia Floresta;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;2105650,86
Município;RN;2408201;Nísia Floresta;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;7581416,44
Município;RN;2408201;Nísia Floresta;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;3222631,07
Município;RN;2408201;Nísia Floresta;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;7966271,88
Município;RN;2408201;Nísia Floresta;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;2577229,62
Município;RN;2408300;Nova Cruz;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5229027,38
Município;RN;2408300;Nova Cruz;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;1582622,9
Município;RN;2408300;Nova Cruz;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;6029531,36
Município;RN;2408300;Nova Cruz;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;1750003,95
Município;RN;2408300;Nova Cruz;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;6703597,77
Município;RN;2408300;Nova Cruz;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;2355415,51
Município;RN;2408300;Nova Cruz;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;8135874,71
Município;RN;2408300;Nova Cruz;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;3759839,66
Município;RN;2408300;Nova Cruz;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;8038334,56
Município;RN;2408300;Nova Cruz;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;3270547,14
Município;RN;2408300;Nova Cruz;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;8573179,44
Município;RN;2408300;Nova Cruz;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;3988274,54
Município;RN;2408409;Olho-d'Água do Borges;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1667551,65
Município;RN;2408409;Olho-d'Água do Borges;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;160048,32
Município;RN;2408409;Olho-d'Água do Borges;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1973115,25
Município;RN;2408409;Olho-d'Água do Borges;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;189607,01
Município;RN;2408409;Olho-d'Água do Borges;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2102101,87
Município;RN;2408409;Olho-d'Água do Borges;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;212949,02
Município;RN;2408409;Olho-d'Água do Borges;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2431392,69
Município;RN;2408409;Olho-d'Água do Borges;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;188601,42
Município;RN;2408409;Olho-d'Água do Borges;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3484081,27
Município;RN;2408409;Olho-d'Água do Borges;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;158977,8
Município;RN;2408409;Olho-d'Água do Borges;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3723218,99
Município;RN;2408409;Olho-d'Água do Borges;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;547592,71
Município;RN;2408508;Ouro Branco;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1970610,84
Município;RN;2408508;Ouro Branco;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;118230,52
Município;RN;2408508;Ouro Branco;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2389911,17
Município;RN;2408508;Ouro Branco;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;95057,02
Município;RN;2408508;Ouro Branco;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2497216,29
Município;RN;2408508;Ouro Branco;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;126579,03
Município;RN;2408508;Ouro Branco;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2951644,38
Município;RN;2408508;Ouro Branco;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;202492,27
Município;RN;2408508;Ouro Branco;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3022635,27
Município;RN;2408508;Ouro Branco;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;381239,76
Município;RN;2408508;Ouro Branco;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2778575,11
Município;RN;2408508;Ouro Branco;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;439172,06
Município;RN;2408607;Paraná;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1547530,32
Município;RN;2408607;Paraná;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;148628,31
Município;RN;2408607;Paraná;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1837763,93
Município;RN;2408607;Paraná;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;214110,63
Município;RN;2408607;Paraná;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;1965068,97
Município;RN;2408607;Paraná;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;230458,37
Município;RN;2408607;Paraná;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2319342,77
Município;RN;2408607;Paraná;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;256863,51
Município;RN;2408607;Paraná;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2002790,74
Município;RN;2408607;Paraná;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;288500,11
Município;RN;2408607;Paraná;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2261975,48
Município;RN;2408607;Paraná;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;136658,16
Município;RN;2408706;Paraú;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2094198,03
Município;RN;2408706;Paraú;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;822668,19
Município;RN;2408706;Paraú;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4114153,2
Município;RN;2408706;Paraú;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;261774,36
Município;RN;2408706;Paraú;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4365482,54
Município;RN;2408706;Paraú;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;875749,26
Município;RN;2408706;Paraú;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;3001506,89
Município;RN;2408706;Paraú;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;144309,11
Município;RN;2408706;Paraú;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2553569,9
Município;RN;2408706;Paraú;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;248955,98
Município;RN;2408706;Paraú;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2761591,69
Município;RN;2408706;Paraú;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;185008,17
Município;RN;2408805;Parazinho;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;16294338,19
Município;RN;2408805;Parazinho;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;2818847,33
Município;RN;2408805;Parazinho;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;19268013,92
Município;RN;2408805;Parazinho;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;3058487,38
Município;RN;2408805;Parazinho;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;21652462,84
Município;RN;2408805;Parazinho;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;2816018,59
Município;RN;2408805;Parazinho;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;25993144,65
Município;RN;2408805;Parazinho;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;3922384,91
Município;RN;2408805;Parazinho;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;22551011,93
Município;RN;2408805;Parazinho;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;3431793,34
Município;RN;2408805;Parazinho;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;23599038,51
Município;RN;2408805;Parazinho;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;3824717,95
Município;RN;2408904;Parelhas;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5865664,35
Município;RN;2408904;Parelhas;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;883302,69
Município;RN;2408904;Parelhas;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;8076098,1
Município;RN;2408904;Parelhas;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;1101086,58
Município;RN;2408904;Parelhas;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;9490633,81
Município;RN;2408904;Parelhas;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;2523135,2
Município;RN;2408904;Parelhas;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;10719653,26
Município;RN;2408904;Parelhas;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;7548225,91
Município;RN;2408904;Parelhas;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;10055506,97
Município;RN;2408904;Parelhas;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;4757179,0
Município;RN;2408904;Parelhas;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;11440926,4
Município;RN;2408904;Parelhas;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;5112203,85
Município;RN;2408953;Rio do Fogo;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;4784408,64
Município;RN;2408953;Rio do Fogo;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;824087,87
Município;RN;2408953;Rio do Fogo;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;5719410,79
Município;RN;2408953;Rio do Fogo;2021;;ISS;SIOPS_ISS;Receita Resultante do ISS;1435050,89
Município;RN;2408953;Rio do Fogo;2022;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;6388080,36
Município;RN;2408953;Rio do Fogo;2022;;ISS;SIOPS_ISS;Receita Resultante do ISS;1302863,43
Município;RN;2408953;Rio do Fogo;2023;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;10835180,28
Município;RN;2408953;Rio do Fogo;2023;;ISS;SIOPS_ISS;Receita Resultante do ISS;1682373,13
Município;RN;2408953;Rio do Fogo;2024;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;10130151,55
Município;RN;2408953;Rio do Fogo;2024;;ISS;SIOPS_ISS;Receita Resultante do ISS;1596961,56
Município;RN;2408953;Rio do Fogo;2025;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;9224993,63
Município;RN;2408953;Rio do Fogo;2025;;ISS;SIOPS_ISS;Receita Resultante do ISS;2269076,7
Município;RN;2409100;Passa e Fica;2020;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2266592,96
Município;RN;2409100;Passa e Fica;2020;;ISS;SIOPS_ISS;Receita Resultante do ISS;139257,46
Município;RN;2409100;Passa e Fica;2021;;Cota-Parte ICMS;SIOPS_COTA_ICMS;Cota-Parte do ICMS;2675438,14
